Name,Grad,SD,Tsurf,SD,abs(min(Curv))*1e6,ztop
Group 1
NP1,10.016117,0.010120,31.912218,0.136490,4.884005,162.000000
NP3,11.557843,0.008071,31.282399,0.121580,2.723312,204.000000
NP4,12.467599,0.005369,30.337824,0.070822,0.038790,117.000000
NP8,9.620096,0.008730,31.542255,0.108232,1.095794,108.000000
NP11,11.126268,0.006539,30.998236,0.088428,0.101750,144.000000
NP15,9.915751,0.008815,31.271396,0.118380,3.996004,162.000000
NP16,11.232323,0.018698,31.161036,0.254116,19.360269,171.000000
NP21,15.603175,0.012371,30.104726,0.143033,23.809524,123.000000
Group 2
B19,8.571723,0.007370,27.940329,0.097825,15.565875,150.000000
B21,10.458028,0.004543,26.294669,0.071694,0.317453,201.000000
B22,15.627267,0.007672,26.457087,0.086235,1.552505,63.000000
B26,11.657509,0.010202,27.646731,0.155150,2.997003,213.000000
B28,10.589943,0.008017,28.416326,0.091064,0.505090,57.000000
B31,8.854212,0.008208,27.956870,0.116046,1.068376,180.000000
B32,4.683041,0.010024,27.504239,0.107582,50.780546,87.000000
Group 3
KER22,16.037382,0.007212,24.143940,0.096859,4.719784,159.000000
KER23,12.255797,0.007160,27.989469,0.091924,1.153677,129.000000
KER24,10.707139,0.007810,28.706493,0.100931,1.544558,144.000000
KER26,12.791980,0.007076,27.663259,0.092358,2.911319,141.000000
KER27,10.105936,0.008743,28.286514,0.106203,0.785533,120.000000
KER28,8.626190,0.007624,28.988102,0.096296,6.966889,138.000000
Group 4
KER17,12.321612,0.010927,28.740165,0.143687,0.763126,153.000000
KER18,11.846154,0.010022,28.448538,0.135705,9.324009,165.000000
KER19,13.325731,0.009198,27.911511,0.120552,2.113126,144.000000
KER20,11.211801,0.007223,29.002438,0.096576,1.489750,159.000000
KER21,10.534314,0.008833,28.780978,0.117196,1.167134,153.000000
Group 5
NC2,35.391914,0.016748,28.311376,0.190690,2.196047,108.000000
NC_1,25.218048,0.008094,29.678321,0.165497,0.735045,330.000000
