phase,,a-quartz,b-quartz,orthoclase,albite,anorthite,muscovite,phlogopite,annite,hornblende,diopside,hedenbergite,enstatite,ferrosilite,forsterite,fayalite,spinel,pyrope,almandine
molecular unit,,SiO2,SiO2,KAlSi3O8,NaAlSi3O8,CaAlSi2O8,KAl3Si3O10(OH)2,"KMg3AlSi3O10(F,OH)2","KFe3AlSi3O10(F,OH)2","Ca2(Mg,Fe,Al)5(Al,Si)8O22(OH)2",CaMgSi2O6,CaFeSi2O6,MgSiO3,FeSiO3,Mg2SiO4,Fe2SiO4,MgAl2O4,Mg3Al2Si3O12,Fe3Al2Si3O12
"gram
formula
weight
(g/mol)",m0,60.1,60.1,278.3,262.2,278.2,398.2,417.2,511.9,864.7,216.6,248.1,200.8,263.9,140.7,203.8,142.3,403.1,497.7
"molar
volume
(cm3/mol)",V0,22.7,23.7,108.9,100.1,100.8,140.8,149.7,154.3,266.2,66.2,68,62.6,65.9,43.7,46.3,39.8,113.1,115.1
"density
@298K
(kg/m3)",r298,2648,2530,2555,2620,2760,2828,2788,3317,3248,3272,3651,3206,4003,3222,4400,3575,3565,4324
"wt%
H2O",,0,0,0,0,0,4.5,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0
"expansivity
aV = a0 + a1T + a2T-2
(/K)",a0 x 105,1.417,-0.44,3.4,1.9801,1.2491,3.537,5.8,3.7,2.075,3.33,2.98,2.972,2.875,2.854,2.386,1.96,2.311,1.776
,a1 x 108,9.6581,0,0,1.0065,-0.0162,0,0,0,1.027,0,0,0.5711,0,1.008,1.153,1.64,0.5956,1.214
,a2,-1.6973,0,0,-0.976,0.0161,0,0,0,0,0,0,0,0,-0.3842,-0.0518,0,-0.454,-0.5071
"specific heat capacity
Cp = c0 + c1T-0.5 + c2T-2 + c3T-3
 (kJ/kg-K)",c0,1.7699,0.9647,1.4445,1.5012,1.5793,1.668,1.4354,1.2777,1.6559,1.4103,1.3712,1.6592,1.3204,1.6572,1.2366,1.7197,1.4657,1.2485
,c1,-23.49,-0.0004,-9.5303,-9.212,-4.7252,-10.994,-4.0508,-5.661,-13.126,-7.4109,-10.668,-11.959,-10.559,-12.804,-9.882,-14.09,-7.012,-6.605
,c2,45.947,30.546,-26.395,-30.1,0,-36.79,-61.28,-42.81,1.5163,-33.09,-32.729,-22.616,-3.444,0,0,0,-33.04,-30.298
,c3,-7.2006,-0.0018,3.6781,4.0829,-1.1395,5.0614,8.995,6.9201,-2.6059,4.2567,-0.0042,2.7805,-0.2858,-1.9042,-0.3052,0,3.1262,4.4437
"isothermal
bulk
modulus
(GPa)",KT,37.12,57.01,58.30,57.76,81.86,49.00,49.70,49.70,93.97,113.00,119.20,105.80,100.17,127.30,136.70,196.20,173.81,174.10
dKT/dP,KT',5.99,4.00,4.00,4.00,4.00,4.00,8.59,8.59,4.00,4.80,4.00,8.50,4.00,5.37,5.16,4.00,5.00,6.00
"shear
modulus
(GPa)",m,44.80,41.40,28.10,29.78,36.05,29.54,22.94,22.94,54.50,64.90,61.00,76.80,52.00,81.60,51.00,107.81,94.00,92.10
"dlnm/
dlnr",G,40.1,4.1,4.4,13.0,6.8,4.5,9.1,9.1,5.1,6.0,5.2,9.4,5.1,5.2,4.7,4.2,4.1,5.5
dm/dP,m',0.46,1.21,0.80,1.21,3.48,1.00,0.77,0.77,0.97,2.00,0.85,2.00,2.00,1.82,0.62,0.92,1.50,1.60
"first
Grüneisen
parameter",gth,0.7,0.1,0.4,0.6,0.5,0.5,0.6,0.6,1.1,1.2,1.2,0.9,1.1,1.2,1.1,1.3,1.3,1.0
"second
Grüneisen
parameter",dT,8.42,4.11,4.44,4.57,4.47,4.52,9.14,9.14,5.10,6.04,5.21,9.39,5.05,5.50,5.40,6.50,5.30,5.52
